month,revenue,expenses,profit
2009-01,87.3,58.56,28.74
2009-02,79.33,61.71,17.63
2009-03,81.98,62.0,19.98
2009-04,84.15,65.31,18.84
2009-05,80.03,62.55,17.48
2009-06,83.87,57.19,26.68
2009-07,84.53,59.19,25.34
2009-08,78.2,66.04,12.16
2009-09,89.98,63.63,26.36
2009-10,89.01,68.36,20.65
2009-11,84.82,66.32,18.5
2009-12,87.35,63.8,23.54
2010-01,90.77,69.85,20.93
2010-02,88.44,64.73,23.71
2010-03,89.25,61.54,27.71
2010-04,85.16,74.44,10.72
2010-05,93.95,63.07,30.88
2010-06,92.99,71.26,21.73
2010-07,94.38,72.72,21.66
2010-08,87.96,70.89,17.07
2010-09,101.47,65.95,35.52
2010-10,96.3,74.6,21.7
2010-11,94.96,67.78,27.18
2010-12,105.46,68.62,36.84
2011-01,98.01,72.12,25.9
2011-02,93.26,76.12,17.14
2011-03,98.32,75.2,23.11
2011-04,91.68,77.29,14.39
2011-05,105.93,74.07,31.86
2011-06,100.99,75.44,25.55
2011-07,100.62,73.09,27.52
2011-08,108.83,76.1,32.72
2011-09,98.9,79.39,19.51
2011-10,108.62,77.26,31.36
2011-11,99.21,80.13,19.08
2011-12,105.83,77.54,28.29
2012-01,104.69,78.03,26.65
2012-02,116.39,80.48,35.91
2012-03,118.66,80.33,38.33
2012-04,111.34,83.24,28.1
2012-05,117.1,82.55,34.55
2012-06,114.11,87.79,26.33
2012-07,118.21,82.46,35.75
2012-08,114.05,82.99,31.06
2012-09,111.36,81.1,30.26
2012-10,112.12,84.84,27.28
2012-11,122.02,87.37,34.65
2012-12,130.64,83.66,46.98
2013-01,123.9,86.28,37.62
2013-02,121.9,89.14,32.76
2013-03,132.84,87.16,45.68
2013-04,127.33,86.53,40.8
2013-05,127.99,91.56,36.42
2013-06,129.79,89.49,40.3
2013-07,129.46,90.94,38.51
2013-08,129.96,93.83,36.13
2013-09,126.66,94.3,32.36
2013-10,135.61,90.38,45.23
2013-11,134.43,90.41,44.02
2013-12,140.78,93.39,47.38
2014-01,135.72,92.7,43.02
2014-02,130.76,87.96,42.8
2014-03,139.16,98.05,41.11
2014-04,147.52,94.84,52.68
2014-05,140.34,97.56,42.79
2014-06,139.46,92.4,47.06
2014-07,139.37,100.35,39.02
2014-08,141.05,95.29,45.77
2014-09,145.14,97.3,47.84
2014-10,142.7,93.99,48.71
2014-11,154.46,98.27,56.19
2014-12,148.37,98.66,49.71
2015-01,150.94,99.37,51.56
2015-02,157.24,101.83,55.41
2015-03,158.45,101.28,57.17
2015-04,152.51,104.62,47.9
2015-05,155.59,100.88,54.71
2015-06,158.07,99.9,58.18
2015-07,155.2,103.43,51.77
2015-08,149.67,105.98,43.69
2015-09,160.18,108.45,51.73
2015-10,161.88,107.77,54.11
2015-11,160.68,100.66,60.02
2015-12,156.0,107.73,48.28
2016-01,159.56,111.62,47.94
2016-02,158.59,108.08,50.51
2016-03,160.33,107.0,53.33
2016-04,167.26,110.14,57.11
2016-05,168.7,108.39,60.31
2016-06,165.73,112.5,53.23
2016-07,165.69,111.25,54.44
2016-08,166.61,116.18,50.43
2016-09,164.23,114.23,50.0
2016-10,164.32,111.3,53.02
2016-11,162.24,116.03,46.2
2016-12,164.99,117.79,47.19
2017-01,174.5,114.06,60.44
2017-02,169.16,115.29,53.87
2017-03,164.5,110.46,54.04
2017-04,164.14,120.91,43.24
2017-05,162.71,117.27,45.44
2017-06,167.77,113.52,54.25
2017-07,167.92,115.44,52.47
2017-08,160.64,120.96,39.68
2017-09,168.39,124.8,43.59
2017-10,164.17,123.15,41.02
2017-11,172.14,125.74,46.4
2017-12,167.02,121.93,45.09
2018-01,173.2,122.13,51.08
2018-02,164.42,129.73,34.69
2018-03,165.0,129.48,35.52
2018-04,167.22,128.83,38.39
2018-05,170.1,133.69,36.4
2018-06,167.97,127.91,40.06
2018-07,160.58,130.42,30.16
2018-08,166.03,135.67,30.37
2018-09,165.15,139.0,26.15
