Time_s,Gyro_X,Gyro_Y,Gyro_Z
0.0,0.109,-0.398,0.029
0.02,-0.022,-0.209,0.125
0.04,0.13,-0.108,0.07
0.06,0.314,0.027,-0.24
0.08,-0.065,0.203,-0.023
0.1,-0.077,0.133,0.14
0.12,0.288,-0.25,0.102
0.14,0.134,-0.095,-0.133
0.16,-0.105,-0.0,0.108
0.18,0.07,-0.083,0.202
0.2,-0.136,-0.093,-0.179
0.22,-0.128,-0.387,-0.371
0.24,0.003,-0.268,0.373
0.26,-0.43,-0.123,0.078
0.28,-0.388,-0.669,-0.084
0.3,-0.155,0.074,-0.083
0.32,-0.24,-0.315,0.039
0.34,0.024,0.116,0.223
0.36,-0.215,0.101,-0.287
0.38,-0.31,-0.153,-0.07
0.4,0.274,0.164,0.359
0.42,-0.056,0.102,0.195
0.44,0.012,-0.104,0.166
0.46,-0.291,-0.141,0.119
0.48,-0.119,0.152,0.111
0.5,0.014,-0.022,-0.049
0.52,-0.219,0.145,-0.066
0.54,0.089,-0.567,0.215
0.56,-0.09,-0.079,-0.049
0.58,-0.013,-0.405,0.125
0.6,-0.06,-0.103,0.1
0.62,0.445,0.034,0.504
0.64,0.062,0.235,0.035
0.66,-0.158,-0.285,0.29
0.68,0.21,-0.194,0.195
0.7,-0.188,-0.104,0.031
0.72,0.096,-0.282,-0.19
0.74,-0.344,0.116,0.065
0.76,-0.222,-0.086,0.246
0.78,0.088,-0.054,-0.163
0.8,0.189,0.038,0.253
0.82,0.071,-0.103,0.331
0.84,0.01,-0.243,0.094
0.86,-0.018,-0.083,0.257
0.88,-0.27,-0.246,0.117
0.9,-0.118,-0.06,0.197
0.92,-0.07,0.126,0.378
0.94,0.24,-0.311,-0.224
0.96,0.096,-0.372,-0.083
0.98,-0.334,-0.056,0.313
1.0,0.105,-0.213,0.335
1.02,-0.022,-0.06,-0.243
1.04,-0.078,0.013,0.367
1.06,0.186,-0.491,-0.469
1.08,0.262,0.082,0.163
1.1,0.244,-0.299,0.053
1.12,-0.083,-0.056,-0.144
1.14,0.035,-0.196,-0.162
1.16,0.153,-0.156,-0.152
1.18,0.286,0.311,-0.058
1.2,-0.004,0.045,0.385
1.22,0.06,0.17,0.137
1.24,-0.107,0.026,0.258
1.26,-0.134,0.114,-0.089
1.28,0.266,0.069,0.018
1.3,0.363,0.041,-0.255
1.32,0.08,0.225,-0.087
1.34,0.296,0.042,-0.154
1.36,0.189,0.451,0.059
1.38,-0.021,0.194,-0.18
1.4,0.189,-0.232,-0.191
1.42,0.398,-0.032,0.078
1.44,0.103,0.077,-0.017
1.46,0.423,0.016,-0.158
1.48,-0.412,0.152,-0.186
1.5,0.274,0.173,-0.157
1.52,0.131,-0.269,0.152
1.54,0.048,0.271,0.065
1.56,0.128,-0.082,-0.177
1.58,-0.274,-0.103,-0.17
1.6,0.075,-0.102,-0.253
1.62,0.188,0.168,-0.114
1.64,0.409,-0.041,-0.012
1.66,0.019,-0.123,-0.213
1.68,-0.04,-0.075,0.407
1.7,0.017,-0.347,0.094
1.72,0.302,-0.173,-0.026
1.74,0.195,-0.273,0.004
1.76,0.01,-0.095,-0.309
1.78,0.226,0.084,-0.273
1.8,0.147,0.059,0.243
1.82,0.325,0.183,0.296
1.84,-0.009,0.125,-0.471
1.86,0.066,-0.187,0.07
1.88,0.06,-0.089,0.253
1.9,-0.169,-0.106,-0.095
1.92,0.174,-0.518,0.278
1.94,0.151,-0.328,0.122
1.96,0.117,-0.134,0.051
1.98,0.082,-0.134,-0.079
2.0,-0.176,0.007,-0.014
2.02,0.027,0.006,-0.099
2.04,0.04,-0.435,0.035
2.06,-0.046,0.028,0.028
2.08,0.086,-0.039,-0.118
2.1,0.197,0.054,-0.412
2.12,0.493,0.152,-0.073
2.14,0.161,-0.091,-0.227
2.16,0.172,0.179,-0.24
2.18,0.102,-0.249,-0.164
2.2,-0.261,-0.265,0.136
2.22,0.126,0.009,-0.247
2.24,0.146,-0.17,-0.193
2.26,0.622,-0.034,0.132
2.28,0.074,0.315,-0.165
2.3,0.157,0.006,-0.216
2.32,0.088,-0.04,0.183
2.34,-0.138,-0.251,-0.014
2.36,0.321,-0.42,0.025
2.38,0.233,-0.093,-0.012
2.4,0.228,0.141,0.121
2.42,-0.11,-0.129,0.174
2.44,0.366,0.011,0.008
2.46,-0.203,0.211,-0.278
2.48,0.195,0.209,0.081
2.5,0.509,-0.016,-0.048
2.52,-0.122,-0.06,0.176
2.54,-0.038,-0.395,-0.183
2.56,0.105,-0.215,-0.057
2.58,-0.014,-0.143,-0.303
2.6,-0.223,-0.275,0.148
2.62,0.093,-0.057,0.242
2.64,-0.142,0.278,-0.096
2.66,0.17,0.201,-0.021
2.68,-0.106,-0.032,-0.148
2.7,0.408,0.07,-0.128
2.72,-0.07,-0.227,0.17
2.74,0.032,0.197,-0.075
2.76,0.261,-0.419,0.12
2.78,-0.158,0.09,0.023
2.8,0.107,0.003,0.175
2.82,0.316,-0.246,-0.044
2.84,-0.272,-0.134,0.228
2.86,0.082,-0.305,0.381
2.88,0.106,-0.297,-0.327
2.9,0.206,-0.403,-0.014
2.92,-0.195,0.062,-0.022
2.94,-0.226,0.151,-0.151
2.96,0.146,-0.515,0.089
2.98,0.088,0.279,0.233
3.0,0.086,-0.099,-0.387
3.02,0.115,-0.031,-0.414
3.04,-0.106,-0.373,0.33
3.06,0.096,0.201,-0.064
3.08,0.104,-0.022,-0.019
3.1,-0.094,0.17,-0.255
3.12,0.429,0.191,-0.056
3.14,0.144,0.192,0.206
3.16,-0.196,-0.193,0.043
3.18,0.17,-0.096,-0.002
3.2,-0.152,-0.174,-0.386
3.22,0.206,0.131,0.126
3.24,0.294,0.019,-0.024
3.26,-0.089,0.188,-0.155
3.28,0.28,0.179,0.1
3.3,0.179,-0.394,-0.19
3.32,0.269,0.222,0.096
3.34,0.479,0.154,0.227
3.36,0.045,-0.106,0.002
3.38,-0.072,0.031,-0.134
3.4,-0.085,-0.073,-0.163
3.42,-0.07,0.077,0.04
3.44,0.082,-0.124,-0.134
3.46,0.137,0.067,0.429
3.48,0.118,-0.013,-0.322
3.5,0.237,-0.12,-0.061
3.52,0.078,0.024,0.01
3.54,0.359,0.517,-0.031
3.56,0.015,-0.16,-0.183
3.58,0.631,-0.079,0.176
3.6,0.21,-0.17,0.056
3.62,-0.085,-0.146,0.068
3.64,-0.128,0.139,-0.216
3.66,0.185,0.126,-0.166
3.68,0.055,-0.026,0.014
3.7,0.268,0.192,-0.314
3.72,0.234,0.15,0.045
3.74,0.128,-0.065,-0.118
3.76,-0.015,-0.331,0.117
3.78,-0.164,0.153,-0.187
3.8,0.05,0.022,0.254
3.82,0.303,-0.001,-0.027
3.84,0.169,-0.08,-0.007
3.86,-0.113,0.136,-0.248
3.88,0.184,0.063,-0.056
3.9,0.213,-0.063,-0.236
3.92,-0.042,-0.249,-0.43
3.94,0.159,0.206,-0.158
3.96,0.146,0.118,0.114
3.98,-0.083,0.032,-0.124
4.0,0.24,-0.543,-0.166
4.02,0.292,-0.031,-0.182
4.04,0.408,-0.075,0.344
4.06,0.393,-0.138,0.021
4.08,-0.101,0.143,-0.431
4.1,-0.012,0.132,-0.227
4.12,0.304,0.062,-0.204
4.14,0.305,0.181,-0.264
4.16,0.319,-0.236,-0.099
4.18,0.983,-0.128,-0.225
4.2,0.326,-0.03,-0.208
4.22,0.439,-0.173,-0.07
4.24,0.398,0.094,-0.432
4.26,0.344,-0.136,-0.563
4.28,0.138,0.217,0.091
4.3,0.334,-0.218,0.002
4.32,0.025,0.407,-0.094
4.34,0.138,0.364,-0.12
4.36,0.081,-0.069,-0.222
4.38,0.217,0.178,0.423
4.4,0.664,-0.13,-0.14
4.42,-0.172,0.138,0.338
4.44,0.329,-0.102,0.218
4.46,-0.125,-0.32,-0.096
4.48,0.114,-0.784,-0.223
4.5,0.428,-0.132,-0.165
4.52,0.226,-0.032,-0.256
4.54,0.0,0.176,-0.102
4.56,0.064,-0.091,-0.056
4.58,0.357,0.099,-0.454
4.6,0.072,-0.197,0.313
4.62,0.279,-0.156,-0.378
4.64,0.232,0.143,-0.76
4.66,0.102,-0.54,-0.254
4.68,0.663,-0.068,-0.473
4.7,0.362,-0.144,-0.262
4.72,-0.176,0.205,-0.236
4.74,0.273,-0.183,-0.148
4.76,0.109,0.04,-0.032
4.78,0.43,0.12,-0.439
4.8,0.107,-0.354,-0.3
4.82,0.239,-0.073,-0.088
4.84,0.358,-0.125,-0.379
4.86,0.434,0.148,-0.629
4.88,0.035,0.09,-0.135
4.9,0.213,-0.091,-0.376
4.92,0.195,-0.239,-0.393
4.94,0.162,0.189,-0.245
4.96,0.627,-0.035,-0.259
4.98,0.359,-0.346,-0.044
5.0,0.024,-0.311,-0.494
5.02,0.472,0.071,0.209
5.04,0.73,-0.291,-0.514
5.06,0.53,0.328,-0.326
5.08,0.018,-0.21,-0.431
5.1,0.22,-0.035,-0.248
5.12,0.567,-0.012,-0.257
5.14,0.171,-0.187,-0.222
5.16,0.403,-0.487,-0.207
5.18,0.46,0.01,0.004
5.2,0.12,-0.166,-0.209
5.22,0.273,0.004,0.044
5.24,-0.342,-0.04,-0.559
5.26,0.099,0.039,-0.649
5.28,0.249,0.291,-0.188
5.3,0.056,-0.125,-0.142
5.32,0.64,-0.108,-0.314
5.34,0.007,-0.344,-0.211
5.36,0.198,-0.056,-0.0
5.38,0.327,0.077,-0.079
5.4,0.598,-0.112,-0.284
5.42,0.011,0.06,-0.177
