Time,Flow_Rate,Temperature,Pressure
1,5.2,305.0,156.45
2,3.5,309.6,157.83
3,9.9,311.3,154.07
4,24.1,314.8,152.77
5,18.6,317.2,163.43
6,13.9,319.8,163.88
7,28.1,322.4,169.57
8,32.0,324.8,170.13
9,23.0,328.0,175.96
10,25.5,330.4,167.43
11,17.5,333.7,183.36
12,10.8,336.7,178.41
13,12.1,339.6,194.69
14,14.8,341.8,176.86
15,30.4,344.4,197.17
16,32.0,348.0,189.34
17,37.8,351.3,186.09
18,29.6,353.3,189.3
19,34.8,356.1,193.29
20,44.2,359.5,202.55
21,23.5,360.7,204.56
22,22.8,363.8,198.81
23,19.3,365.8,205.3
24,31.2,368.8,226.41
25,32.6,370.6,224.92
26,27.2,371.5,214.99
27,35.2,372.6,212.75
28,26.8,375.1,216.03
29,29.4,377.7,223.03
30,28.6,379.2,210.28
31,31.0,381.9,219.78
32,8.4,382.6,207.93
33,8.0,384.5,228.38
34,18.0,385.5,231.69
35,7.8,386.9,222.93
36,19.5,388.8,243.78
37,15.2,389.8,219.1
38,33.2,391.1,218.21
39,42.2,393.4,236.35
40,34.7,394.3,245.06
41,22.8,396.2,253.24
42,18.4,396.4,233.11
43,17.6,397.8,249.29
44,18.7,399.9,240.89
45,31.5,398.5,238.08
46,34.7,398.6,248.33
47,34.9,399.8,247.44
48,19.9,400.1,226.25
49,14.3,400.8,256.54
50,30.6,400.6,255.38
51,23.6,400.9,236.28
52,24.8,400.8,246.07
53,28.7,401.7,248.02
54,19.2,401.7,245.75
55,6.9,401.6,237.76
56,13.7,400.7,235.62
57,7.1,399.8,240.9
58,10.0,398.8,251.33
59,6.2,398.5,244.95
60,15.3,397.3,234.91
61,9.2,396.6,245.02
62,6.9,397.3,211.27
63,16.4,396.7,248.72
64,26.9,395.0,219.54
65,15.7,394.5,232.01
66,11.8,392.6,222.94
67,10.4,389.3,217.97
68,19.9,386.9,237.88
69,21.6,383.8,219.87
70,13.0,382.0,225.25
71,15.7,380.4,220.08
72,29.9,380.1,224.39
73,26.1,378.4,219.09
74,39.0,376.2,205.04
75,8.1,374.7,223.14
76,16.3,370.7,206.32
77,15.9,368.8,195.56
78,11.7,367.2,203.37
79,12.1,363.7,215.59
80,23.6,362.3,208.84
81,23.5,360.1,196.98
82,17.7,357.2,194.13
83,14.3,355.1,192.3
84,8.3,354.2,210.03
85,16.0,351.5,194.19
86,19.9,348.7,191.77
87,9.1,345.4,192.97
88,11.1,341.7,183.51
89,11.6,339.4,177.72
90,11.2,335.7,174.69
91,11.9,332.8,172.84
92,21.2,329.4,169.91
93,12.5,326.8,172.64
94,9.5,324.0,165.52
95,13.5,321.7,167.85
96,27.6,318.1,159.29
97,22.0,314.7,157.23
98,17.6,310.8,141.01
99,16.5,307.4,155.77
100,18.0,304.7,149.94
101,31.0,302.2,151.53
102,32.2,298.4,125.93
103,32.5,296.0,152.1
104,37.3,294.0,137.9
105,35.0,291.2,142.35
106,27.4,289.5,129.27
107,15.4,285.5,134.77
108,16.6,281.3,122.68
109,18.5,276.8,121.31
110,16.8,275.2,132.55
111,25.9,272.7,120.19
112,24.1,269.7,119.76
113,21.8,267.0,120.66
114,27.9,263.1,115.8
115,23.7,262.3,113.61
116,25.1,259.5,112.39
117,23.0,256.7,119.07
118,15.1,254.5,106.71
119,21.9,252.1,105.99
120,28.2,249.5,107.54
121,33.9,246.2,105.22
122,21.9,244.0,103.85
123,34.8,243.0,100.93
124,17.7,241.5,92.87
125,23.1,240.2,102.68
126,43.8,237.2,89.91
127,29.6,234.0,93.06
128,21.8,231.6,87.54
129,21.8,229.5,88.57
130,15.9,228.3,89.12
131,29.2,225.0,86.79
132,26.6,224.4,86.71
133,35.6,222.5,89.4
134,28.0,220.4,84.05
135,35.5,218.1,80.22
136,17.2,215.4,82.27
137,25.1,214.9,82.64
138,27.1,213.8,74.32
139,17.6,211.7,78.62
140,29.9,209.8,77.67
141,25.9,208.9,74.07
142,22.5,209.7,79.64
143,28.8,208.8,74.45
144,25.4,207.1,74.18
145,21.9,206.6,72.98
146,22.3,206.2,73.28
147,26.9,203.9,68.62
148,39.1,204.1,67.75
149,31.0,204.1,76.48
150,26.4,205.0,70.01
151,23.0,206.9,70.76
152,19.6,208.0,67.98
153,26.3,208.1,72.55
154,23.3,207.6,70.2
155,20.3,210.2,80.79
156,27.5,210.8,79.27
157,33.4,211.3,74.42
158,36.5,212.0,83.92
159,22.6,212.9,80.61
160,29.2,213.7,77.08
161,25.1,214.2,70.58
162,27.2,214.9,86.11
163,38.4,216.2,75.31
164,28.1,217.1,75.06
165,37.2,218.0,84.26
166,39.5,219.7,90.1
167,45.6,221.2,87.7
168,61.6,224.2,87.06
169,53.8,223.9,86.95
170,42.1,226.8,89.89
171,30.9,229.8,91.7
172,28.2,230.1,90.21
173,28.9,232.1,90.99
174,26.5,234.1,91.79
175,29.5,235.4,90.14
176,37.6,237.3,93.24
177,36.4,239.1,89.12
178,49.9,243.3,98.25
179,44.2,246.8,97.2
180,69.3,250.4,99.29
181,69.7,253.6,107.04
182,55.3,255.3,113.55
183,41.0,257.6,113.33
184,44.4,260.9,104.82
185,40.3,262.7,108.76
186,46.3,266.3,120.42
187,49.0,269.0,113.53
188,45.9,271.8,119.32
189,35.6,275.4,126.0
190,43.5,278.8,121.15
191,46.6,281.5,128.78
192,36.3,285.6,124.6
193,34.1,287.7,130.16
194,46.8,291.3,138.13
195,43.6,294.9,130.55
196,38.7,297.8,144.42
197,47.4,301.1,144.65
198,44.4,303.3,149.91
199,42.9,307.2,151.43
200,53.8,310.2,161.06
201,48.1,313.0,156.0
202,41.2,317.0,156.08
203,45.2,319.6,161.95
204,55.1,321.6,166.52
205,39.3,323.6,165.13
206,48.2,327.5,168.68
207,42.2,329.8,165.75
208,43.4,334.5,170.3
209,48.6,336.0,166.46
210,86.5,340.6,193.37
211,86.0,343.9,174.74
212,91.3,346.9,181.61
213,94.1,349.4,183.78
214,93.5,352.8,199.43
215,83.4,355.7,193.09
216,85.7,359.4,209.01
217,72.4,362.2,196.43
218,66.6,365.0,206.97
219,59.2,367.4,200.2
220,58.7,369.9,227.65
221,80.8,372.7,202.43
222,57.8,373.8,216.31
223,63.8,375.3,220.66
224,53.1,378.4,222.03
225,58.0,381.0,219.48
226,55.3,383.2,222.27
227,56.0,385.5,226.24
228,59.4,387.9,227.04
229,66.2,389.6,239.06
230,58.1,391.0,252.17
231,65.4,393.1,228.71
232,62.3,394.2,222.22
233,61.5,396.4,236.63
234,67.9,396.8,262.45
235,69.1,399.4,232.98
236,74.4,401.4,258.81
237,65.1,403.0,261.05
238,63.1,405.1,241.47
239,70.0,407.6,255.37
240,61.5,409.3,267.95
241,69.6,408.6,246.98
242,70.4,408.4,248.53
243,65.0,408.7,245.06
244,71.9,409.5,241.56
245,70.9,410.6,246.43
246,74.3,410.6,240.62
247,78.7,411.2,254.01
248,84.3,411.0,245.64
249,72.4,410.8,255.59
250,76.8,409.9,236.53
251,77.1,409.5,255.12
252,75.1,408.6,259.15
253,96.7,408.0,230.18
254,104.4,409.0,254.99
255,85.5,408.1,262.52
256,79.9,410.1,240.23
257,92.9,410.0,269.22
258,84.3,409.5,256.0
259,88.7,408.0,243.07
260,95.9,407.8,249.35
261,85.2,406.4,253.91
262,85.0,405.5,248.13
263,111.9,406.5,253.83
264,118.8,405.0,237.74
265,117.2,404.5,247.95
266,125.9,402.3,230.08
267,104.7,400.6,240.94
268,117.4,400.3,232.95
269,118.6,397.9,232.06
270,114.0,397.4,250.35
271,97.3,395.8,247.16
272,112.0,393.1,239.62
273,98.7,391.4,221.97
274,99.1,389.8,227.49
275,109.6,387.9,239.47
276,104.3,384.1,225.64
277,102.6,381.0,241.64
278,109.3,378.4,221.85
279,108.6,375.9,217.48
280,112.7,373.8,211.02
281,111.5,371.4,212.32
282,106.2,367.6,206.06
283,123.4,365.3,210.8
284,109.9,363.1,210.54
285,132.5,360.7,194.07
286,111.6,358.7,187.81
287,114.6,356.4,181.69
288,118.6,353.7,197.36
289,122.3,350.5,181.89
290,118.0,346.0,169.9
291,121.5,343.3,186.16
292,127.6,340.4,198.53
293,134.0,337.6,177.82
294,125.3,333.4,179.74
295,127.3,329.5,170.82
296,131.9,327.4,167.64
297,133.1,324.3,171.54
298,137.2,321.7,161.18
299,146.0,318.6,161.97
300,151.9,315.5,159.49
301,142.6,313.1,151.16
302,137.7,309.5,158.15
303,146.9,306.4,148.33
304,153.6,302.9,141.9
305,153.3,299.5,146.46
306,154.7,296.2,135.5
307,167.9,293.4,138.32
308,160.6,290.0,135.25
309,166.2,288.1,139.51
310,163.7,284.4,133.11
311,161.8,281.3,127.95
312,173.7,278.1,129.57
313,181.4,276.5,131.08
314,188.1,273.8,124.72
315,199.1,271.8,120.45
316,195.9,267.7,111.0
317,200.2,265.2,110.28
318,194.3,263.3,112.32
319,195.9,260.7,108.97
320,193.1,258.9,109.48
321,193.4,255.9,108.26
322,199.0,254.5,109.22
323,190.0,253.8,106.13
324,211.8,250.8,106.2
325,199.8,248.0,102.35
326,187.8,246.7,93.14
327,201.8,245.6,96.55
328,210.4,242.8,97.7
329,216.5,240.2,91.72
330,222.1,237.8,96.93
331,220.9,234.8,98.18
332,211.4,232.3,95.18
333,213.5,229.9,88.31
334,208.2,227.8,92.84
335,220.7,226.5,87.23
336,220.5,225.5,84.87
337,218.7,225.6,83.98
338,224.4,223.6,83.7
339,222.3,223.3,83.21
340,230.8,222.1,84.28
341,241.1,221.2,83.63
342,239.7,220.9,82.9
343,238.9,219.3,83.25
344,246.3,219.0,85.5
345,252.7,218.7,84.51
346,251.7,218.7,76.58
347,268.1,218.5,72.98
348,282.1,220.2,85.5
349,287.7,219.4,77.41
350,287.9,218.7,80.68
351,283.4,218.2,77.28
352,268.5,217.9,75.05
353,270.3,217.7,82.49
354,271.6,219.1,84.16
355,274.7,220.6,80.78
356,286.0,220.6,74.12
357,288.5,220.5,80.82
358,293.9,221.7,84.74
359,293.0,222.0,78.69
360,304.3,223.5,85.28
361,301.1,224.7,85.43
362,310.4,224.6,87.39
363,311.6,227.1,87.55
364,318.4,229.8,85.54
365,327.7,230.5,93.77
366,325.3,231.6,89.69
367,330.2,233.4,91.43
368,333.0,235.2,89.34
369,336.9,237.4,92.7
370,332.9,240.7,93.32
371,336.9,242.2,97.16
372,346.2,243.3,105.39
373,364.4,244.1,93.77
374,375.8,245.6,93.84
375,398.1,247.9,108.02
376,388.6,251.6,103.9
377,397.6,253.4,103.29
378,399.2,256.0,112.59
379,421.4,258.4,107.26
380,411.1,261.8,120.76
381,402.8,266.3,119.19
382,399.0,268.2,115.25
383,406.4,270.3,129.49
384,414.9,273.7,118.96
385,425.3,276.8,128.11
386,426.0,280.9,129.28
387,425.5,283.8,136.91
388,430.1,286.1,140.29
389,443.7,289.2,134.8
390,440.8,292.7,133.43
391,438.1,296.0,142.96
392,446.9,299.1,139.16
393,458.4,302.6,157.82
394,464.5,306.2,150.02
395,480.8,309.9,150.24
396,479.1,313.0,156.37
397,479.1,315.5,148.97
398,486.9,318.3,153.77
399,490.8,322.0,171.19
400,508.7,324.0,160.84
401,499.2,327.1,161.0
402,511.5,329.6,174.01
